word,categories
best,"['affect', 'posemo', 'achieve', 'funct', 'quant']"
bet,"['cogmech', 'tentat', 'money']"
bets,"['cogmech', 'tentat', 'money']"
better,"['affect', 'posemo', 'achieve']"
betting,"['cogmech', 'tentat', 'money']"
between,"['funct', 'preps']"
beyond,"['funct', 'adverb', 'preps', 'space', 'relativ']"
bf,"['social', 'friend']"
bi,"['bio', 'sexual']"
biannu,"['time', 'relativ']"
bible,['relig']
biblic,['relig']
bicep,"['bio', 'body']"
bicyc,['leisure']
big,"['space', 'relativ']"
bigger,"['space', 'relativ']"
biggest,"['space', 'relativ']"
bike,['leisure']
bill,['money']
billed,['money']
billing,['money']
billion,"['funct', 'number']"
bills,['money']
bimonth,"['time', 'relativ']"
binding,"['cogmech', 'inhib']"
binge,"['bio', 'health', 'ingest']"
binging,"['bio', 'health', 'ingest']"
biolog,['work']
bipolar,"['bio', 'health']"
birdie,['leisure']
birth,"['time', 'relativ']"
bishop,['relig']
bit,['quant']
bitch,"['affect', 'negemo', 'anger', 'swear']"
bits,['quant']
bitter,"['affect', 'negemo', 'anger', 'percept']"
biweek,"['time', 'relativ']"
biz,['work']
black,"['percept', 'see']"
blackboard,['work']
blacke,"['percept', 'see']"
blackish,"['percept', 'see']"
blackjack,['leisure']
blacks,"['percept', 'see']"
bladder,"['bio', 'body']"
blah,['filler']
blam,"['social', 'affect', 'negemo', 'anger']"
blatant,"['cogmech', 'certain']"
bldg,['work']
bleed,"['bio', 'health']"
blender,['home']
bless,"['affect', 'posemo', 'relig']"
blind,"['bio', 'health', 'percept', 'see']"
block,"['cogmech', 'inhib']"
blockbuster,['leisure']
blocked,"['cogmech', 'inhib']"
blocker,"['cogmech', 'inhib']"
blocking,"['cogmech', 'inhib']"
blocks,"['cogmech', 'inhib']"
blog,['leisure']
blond,"['percept', 'see']"
blood,"['bio', 'body']"
bloody,"['bio', 'body', 'swear']"
blue,"['percept', 'see']"
blur,"['cogmech', 'tentat']"
bodi,"['bio', 'body']"
body,"['bio', 'body']"
boil,"['bio', 'ingest']"
bold,"['affect', 'posemo']"
bone,"['bio', 'body']"
boner,"['bio', 'sexual']"
bones,"['bio', 'body']"
bonus,"['affect', 'posemo', 'achieve', 'money']"
bony,"['bio', 'body']"
boob,"['bio', 'body', 'sexual', 'swear']"
book,"['work', 'leisure']"
boom,"['percept', 'hear']"
booz,"['bio', 'ingest']"
borderline,"['cogmech', 'tentat']"
bore,"['affect', 'negemo']"
boring,"['affect', 'negemo']"
born,"['time', 'relativ']"
borrow,['money']
boss,"['cogmech', 'cause', 'work']"
both,"['funct', 'quant', 'cogmech', 'incl', 'space', 'relativ']"
bother,"['affect', 'negemo', 'anger']"
bottom,"['space', 'relativ']"
bought,"['verb', 'past', 'money']"
bound,"['cogmech', 'inhib']"
bowel,"['bio', 'body']"
boy,"['social', 'humans']"
boy,"['social', 'humans']"
boyf,"['social', 'friend']"
boys,"['social', 'humans']"
brain,"['bio', 'body']"
brake,"['cogmech', 'inhib']"
brave,"['affect', 'posemo']"
bread,"['bio', 'ingest']"
breadth,"['space', 'relativ']"
break,['relativ']
breakfast,"['bio', 'ingest']"
breast,"['bio', 'body', 'sexual']"
breath,"['bio', 'body']"
bridle,"['cogmech', 'inhib']"
brief,"['motion', 'relativ']"
bright,"['affect', 'posemo', 'percept', 'see']"
brillian,"['affect', 'posemo']"
bring,"['verb', 'present', 'motion', 'relativ']"
bringing,"['motion', 'relativ']"
brings,"['verb', 'present', 'motion', 'relativ']"
brink,"['space', 'relativ']"
bro,"['social', 'family']"
broad,"['space', 'relativ']"
broke,"['affect', 'negemo', 'sad']"
broker,"['work', 'money']"
bronchi,"['bio', 'health']"
broom,['home']
bros,"['social', 'family']"
brother,"['social', 'family']"
brought,"['verb', 'past', 'motion', 'relativ']"
brown,"['percept', 'see']"
brunch,"['bio', 'ingest']"
brush,"['percept', 'feel']"
brutal,"['affect', 'negemo', 'anger']"
buck,['money']
bucks,['money']
bud,"['social', 'friend']"
buddh,['relig']
buddies,"['social', 'friend']"
buddy,"['social', 'friend']"
budget,['money']
building,['relativ']
bulimi,"['bio', 'health', 'ingest']"
bunch,"['funct', 'quant']"
burden,"['affect', 'negemo']"
bureau,['work']
burial,['death']
buried,['death']
burnout,"['work', 'achieve']"
burp,"['bio', 'health']"
bury,['death']
business,"['work', 'money']"
busy,"['relativ', 'time', 'work']"
but,"['funct', 'conj', 'cogmech', 'excl']"
butt,"['bio', 'body', 'sexual', 'swear']"
butt,"['bio', 'body', 'sexual', 'swear']"
butter,['percept']
butts,"['bio', 'body', 'sexual', 'swear']"
buy,['money']
by,"['funct', 'preps']"
bye,"['social', 'relativ', 'time']"
caf,"['bio', 'ingest']"
calculus,['work']
call,['social']
called,"['verb', 'past', 'social']"
caller,['social']
calling,['social']
calls,['social']
calm,"['affect', 'posemo']"
came,"['verb', 'past', 'cogmech', 'incl', 'motion', 'relativ']"
camping,['leisure']
campus,['work']
can,"['verb', 'funct', 'auxverb', 'present']"
ca,"['verb', 'funct', 'auxverb', 'present', 'negate']"
cancer,"['bio', 'health']"
candie,"['bio', 'ingest']"
candle,"['percept', 'see']"
candy,"['bio', 'ingest']"
can,"['verb', 'funct', 'auxverb', 'present', 'negate']"
cant,"['verb', 'funct', 'auxverb', 'present', 'negate']"
capab,['achieve']
capacit,"['space', 'relativ']"
captain,['social']
car,"['relativ', 'motion']"
caramel,['percept']
